"movie_id","movie_title","original_language","overview","production_countries","year_released"
"night-at-the-museum-battle-of-the-smithsonian","Night at the Museum: Battle of the Smithsonian","en","Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.","[""United States of America"",""Canada""]","2009"
"pale-cocoon","Pale Cocoon","ja","In the far future when the continuity of the history has been lost, humans live in an ever more deteriorating completely artificial and enclosed world. The sea and the sky have disappeared, and the only window to ""living"" scenery exists in the records from the past, excavated in the relic.The Bureau of Record Excavation is an organization responsible for this task. Ura works for the 92nd office of the bureau. He is absorbed by the restoration of various records and fascinated by world of the past. Riko keeps a little distance to watch him, but averts her eyes from the records, believing that sometimes people just want things to stay the same.Everyone in this world knows that to know the past means to know the misery of this world, the present reality. But one day, Ura restores a strange video...","[""Japan""]","2006"
"cananea","Cananea","es","Based on a true story in the American owned Cananea mine. It depicts how the owner profits while the Mexican workers struggle to survive and are exploited for their labour.","[""Mexico""]","1978"
"mandela-long-walk-to-freedom","Mandela: Long Walk to Freedom","en","A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.","[""United Kingdom"",""South Africa""]","2013"
"cayuga-mission","Cayuga Mission","en","On the OSS Operational Group's assistance in helping to organize and coordinate partisan activities in Italy during World War II. Describes the success of the mission; shows the ""Cayuga Team"" at a briefing and parachuting, along with supplies, into the hilly Italian terrain.","[""United States of America""]","1945"
"skypemare","Skypemare","en","Alison is left home alone on Halloween night, but while chatting with her best friend Jenna over Skype, something terrifying happens to Jenna, leaving Alison helpless on the other side of the computer screen, watching in horror.","[""United States of America""]","2013"
"nagasaki-memories-of-my-son","Nagasaki: Memories of My Son","ja","Nobuko (Sayuri Yoshinaga) works in Nagasaki, Japan as a midwife. Her son died 3 years earlier from the atomic bomb. On August 9, 1948, her son appears in front of her again. Since that time, Koji (Kazunari Ninomiya) appears in front of her and they reminiscence about pleasant times. These happy, but bizarre moments seem eternal.","[""Japan""]","2015"
"the-ghost-inside","The Ghost Inside","zh","A young mother and runs from her abusive husband with her daughter only to discover that their new apartment may be haunted by the spirit of a woman who suffered a similar fate.","[""China"",""Hong Kong""]","2005"
"the-big-score","The Big Score","en","A narcotics detective, played by Fred Williamson, lets nothing stand in the way of his bringing down a major drug dealer. After a bust gone awry, he's accused of stealing a lost briefcase filled with money and both the mob and the police are looking for him. A ruthless hit man, played by Bruce Glover, will stop at nothing to get what his boss wants; the money!","[""United States of America""]","1983"
"the-people-of-the-kattawapiskak-river","The People of the Kattawapiskak River","en","Alanis Obomsawin’s documentary The People of the Kattawapiskak River exposes the housing crisis faced by 1,700 Cree in Northern Ontario, a situation that led Attawapiskat’s band chief, Theresa Spence, to ask the Canadian Red Cross for help. With the Idle No More movement making front page headlines, this film provides background and context for one aspect of the growing crisis.","[""Canada""]","2012"
"seven-angry-men","Seven Angry Men","en","Director Charles Marquis Warren's 1955 period drama about abolitionist John Brown's crusade to free the slaves stars Raymond Massey, Jeffrey Hunter, Debra Paget, Larry Pennell, Leo Gordon, James Best, John Smith, Dennis Weaver, James Edwards, Guy Williams, James Anderson, Dabbs Greer, Robert ""Smoki"" Whitfield and Tom Irish.","[""United States of America""]","1955"
"romance-of-a-horsethief","Romance of a Horsethief","en","Since time immemorial, the simple-minded boisterous people of Malava, a small Polish town near the border of imperial Russia, have lived on horse-stealing, horse-trading and horse-smuggling. Life changes abruptly when a Russian garrison, commanded by Captain Stoloff, occupies the town and, in the name of the Czar, requisitions all the horses for the Russian-Japanese War. With no more horses to steal, Kifke cannot afford to marry Estusha and all the young men in the village are likely to be incorporated into the Russian army. This state of affairs cannot continue and Zavill will take care of things. Written by Guy Bellinger (IMDB)","[""France"",""Italy"",""United States of America"",""Yugoslavia""]","1971"
"cooped-up","Cooped Up","en","After coming into contact with a potentially fatal virus, a bitter professional wrestler is forced to isolate himself in his childhood home for 21 days.","[""Australia""]","2016"
"the-corporation","The Corporation","en","Since the late 18th century American legal decision that the business corporation organizational model is legally a person, it has become a dominant economic, political and social force around the globe. This film takes an in-depth psychological examination of the organization model through various case studies. What the study illustrates is that in the its behaviour, this type of ""person"" typically acts like a dangerously destructive psychopath without conscience. Furthermore, we see the profound threat this psychopath has for our world and our future, but also how the people with courage, intelligence and determination can do to stop it.","[""Canada""]","2003"
"i-love-you-to-death-2016","I Love You to Death","tl","Two childhood friends who promised to love each other through thick and thin, in sickness and in health, for richer or for poorer. Something happens to my character Tonton he dies and resurrects just to fulfill the promise he made to Gwen.","[""Philippines""]","2016"
"the-world-owes-me-a-living","The World Owes Me a Living","en","When a British pilot is hospitalized after a plane crash, the woman he loves sits by his bedside and remembers, in flashbacks, key episodes from their life together. Drama.","[]","1945"
"dancing-darkies","Dancing Darkies","en","""A company of little darkies showing off their paces to the music of the banjo.""","[]","1896"
"a-recipe-for-gruel","A Recipe for Gruel","en","A splendid 10-minute animated film by Sharon Smith. It is an adaptation of a tale by Frank Key. Narrated by Key himself, it has been screened at film festivals and competitions all over the world, including Annecy, Edinburgh, Brazil and last month’s Raindance in London.","[""United Kingdom""]","2013"
"land-vessels","Land Vessels","pt","For many years, the mountain is moved between two countries - Brazil and China. Romulo, an ex-mineworker and now a sailor, heads into his first journey taking part of the mountain towards another one.","[""Brazil""]","2017"
"skin-a-history-of-nudity-in-the-movies","Skin: A History of Nudity in the Movies","en","The definitive documentary on the history of nudity in feature films from the early silent days to the present, studying the changes in morality that led to the use of nudity in films while emphasizing the political, sociological and artistic changes that shaped that history. Skin will also study the gender inequality in presenting nude images in motion pictures and will follow the revolution that has created nude gender equality in feature films today.","[""United States of America""]","2020"
"no-no-sleep","No No Sleep","zh","A new entry in the Walker series. 'No No Sleep' is set in Tokyo, where Tsai Ming-liang met with Ando Masanobu.","[""Hong Kong"",""Taiwan""]","2015"
"o-dia-do-galo","O Dia do Galo","pt","The documentary follows five fans of the Clube Atlético Mineiro, a Brazilian team that was about to play the most important match of its history: the decision of the Libertadores da América Cup.","[""Brazil""]","2015"
"the-ingmar-inheritance","The Ingmar Inheritance","sv","""The Ingmar Inheritance"". The story of a group of farmers who choose to leave their homes and follow the preacher Helgum to the Holy Land.","[""Sweden""]","1925"
"the-casserole-club","The Casserole Club","en","Steve Balderson's new film, ""The Casserole Club"" focuses on a group of mod 1960's era suburban housewives. Close-knit and neighborly, they are all bent on one-upping each other, trying to prove that each is ""the hostess with the mostess."" They begin a recipe club, and hold dinner parties, testing out their new casseroles. But when the gatherings become increasingly focused on boozy flirtation, and more than recipes start getting swapped, the story moves swiftly from stylized and campy to a drama about irresponsibility, selfishness, and damaged people. ""The Casserole Club"" is an intricate landscape of desolation, unspoken desires, and empty lives laid bare. Raw and uncompromising, it is evocative of classics like ""Who's Afraid of Virginia Woolf?"" and the more contemporary ""American Beauty."" Set in America during the NASA moonwalk...","[]","2012"
"the-plaza-2013","The Plaza","es","What are the pedestrians looking for when they stop in the plaza? A documentary based on atmospheric sensations, the film reveals the human’s need for the company of others. The images and sounds reveal a dream-like show in which the elderly, couples and children unravel inside this oasis, where only the here and now matter, beyond the city flow.","[""Chile""]","2013"
"a-pact","A Pact","de","A dark psychological thriller, A Pact tells the twisted story of a contentious love triangle. As teenagers, Paul tricked Georg into handing over his girlfriend Anna to him. Georg agrees, on the condition that he can have her back whenever he wishes. After decades of silence, when Anna and Paul have a family together, Georg suddenly re-appears. Strange things start happening to Paul, and it soon becomes clear that Georg has not forgotten the pact.","[""France"",""Germany""]","2013"
"moist-fury","Moist Fury","en","It's ""Death Wish"" meets ""Savage Streets"" meets ""Monty Python"" in this over the top 80's style revenge comedy. When their best fighter, Dewback, is killed, the Queafs must exact bloody vengeance! In the middle of their war, a lone nomad warrior comes into the picture & begrudgingly helps the girls on their quest for revenge.","[]","2011"
"infiltration","Infiltration","en","A tragical-comedy film story that follows a young non-combatant platoon with defective fitness. Set in ""Bahad 4"" in the 50's, the movie focuses mainly on two characters: Alon (Oz Zehavi), who believes he was accidentally sent to Bahad 4 and will soon be sent to join the Paratroopers. Avner (Guy Adler), believes that the army is the last thing that interests him.","[""France"",""Israel""]","2010"
"the-foghorn","The Foghorn","ja","Chiyokichi, a young man, hates Cooper, a white man who looks down on the Japanese. Chiyokichi picks Cooper’s pocket and is caught. He is brought to Cooper’s house and becomes his slave, and a riveting tale of passion, hatred, and revenge unfolds.","[""Japan""]","1934"
"the-haunted-pumpkin-of-sleepy-hollow","The Haunted Pumpkin of Sleepy Hollow","en","It's Halloween, and friends Nick and Kate are on a mission to find the biggest and best pumpkin in the patch. Unfortunately, the pumpkin thy chose is haunted by the ghost of the Headless Horseman...and he wants his head back! Aided by the skittish spirit Nathaniel, the two kids have to keep the Headless Horseman from getting his pumpkin head back before midnight. Inspired by the classic Washington Irving tale, ""The Legend of Sleepy Hollow"", the whole town of Sleepy Hollow gets involved in the exciting and thrilling race towards midnig","[""United States of America""]","2002"
"the-spoilers-1930","The Spoilers","en","This third film version of Rex Beach's rugged Yukon novel The Spoilers was also the first talkie adaptation. This time, Gary Cooper and William ""Stage"" Boyd are cast as gold prospector Glennister and crooked Alaska politician McNamara.","[""United States of America""]","1930"
"nightfall-2000","Nightfall","en","The people of the planet Aeon, blessed with six suns, have never experienced night. When an archeological excavation uncovers evidence of an ancient catastrophe, all signs point towards the impending darkness of the very first Nightfall. Panic erupts as the suns slowly disappear one by one. Science struggles against superstition as the people race to comprehend the approaching Nightfall... the end of the world as they know it. Based on Isaac Asimov's classic story ""Nightfall,"" voted ""The Greatest Science-Fiction Story OF All Time.""","[""United States of America""]","2000"
"the-mauritania-railway-backbone-of-the-sahara","The Mauritania Railway: Backbone of the Sahara","en","Journey of a 700 km. train route across Mauritania, along which iron ore is transported to the port.","[]","2018"
"porkys-romance","Porky's Romance","en","The introduction cartoon for Petunia Pig deals with Porky's courtship with her. Once he's won her hand in marriage, he fantasizes about his future with her, which doesn't seem very appealing.","[""United States of America""]","1937"
"island-claws","Island Claws","en","A biological experiment in Florida goes awry. The result: 8-foot long land crabs which roar loudly and kill everything in sight.","[""United States of America""]","1980"
"invasion-of-privacy","Invasion of Privacy","fr","A mentally unbalanced man kidnaps the woman carrying his child to prevent her from having an abortion.","[]","1996"
"the-lies-of-the-victors","The Lies of the Victors","de","Fabian Groys, a renowned journalist for a political news magazine, enjoys great freedom, since the stories he uncovers make for good sales. When he loses a hot story about the German army, the editor saddles him with a young female intern. Fabian hates teamwork and sticks the intern with what seems a classic tabloid story about the suicide of a man who had himself torn to shreds by a lion at the zoo. But thanks to the intern’s dogged determination, signs emerge that the story Fabian was working on and the gory zoo story are actually interlinked. Is it pure coincidence? And if it isn’t, how can Fabian fight a nebulous enemy?","[""France"",""Germany""]","2014"
"twisted-sister-live-at-reading","Twisted Sister: Live at Reading","en","1. What You Don't Know (Sure Can Hurt You) 2. Sin After Sin 3. Bad Boys (Of Rock 'n' Roll) 4. Destroyer 5. Shoot 'Em Down 6. Tear It Loose 7. Under The Blade 8. It's Only Rock 'n' Roll  Twisted Sister's historic appearance at the Reading Festival, August 1982. Pete Way of UFO, ""Fast"" Eddie Clarke and Lemmy join Twisted Sister for their closing, then standard, cover of the Stones' ""It's Only Rock 'n Roll (But I Like It)."" This is especially notable as the first time Clarke appeared on stage with Lemmy since leaving Motörhead just three months earlier.","[]","1982"
"the-boys","The Boys","en","Brett Sprague is a violent and psychopathic man, who is released on parole after serving a sentence for assault. As he returns to his family house and we watch him and his brothers, Stevie and Glenn, for the next 24 hours, it becomes clear this day will not end well.","[""Australia""]","1998"
"the-new-interns","The New Interns","en","Young doctors mix romance with their careers in a big-city hospital.","[""United States of America""]","1964"
"flesh-eating-mothers","Flesh Eating Mothers","en","A venereal disease turns an entire town of two-timing mothers into cannibals!","[""United States of America""]","1988"
"bury-me-high","Bury Me High","cn","In a mountainous region in an Asian backwater banana republic, it is said that the descendents of all those buried in its earth will be blessed with fantastic fortune and good health. However, if a special ceremony is not performed on the grounds, then the luck will only last for 24 years. A trio of Chinese Americans decide to venture into these mountains hoping to change their luck; Anna Wong (Moon Lee) is an executive facing a corporate meltdown, Wisely (Chin Ka-Lok) is dying of brain cancer, and UCLA Prof. Chang (Tsui Siu-Ming) is an expert in feng shui. Tin can potentate General Nguen (Yuen Wah) also has designs on the grounds -- hoping to turn his third world, fourth rate country into a superpower. Along the way, the three heroes fall in with a group of local rebels, including the high-kicking Nguen Van Vong (Sibelle Hu).","[""Hong Kong""]","1991"
"concrete-night","Concrete Night","fi","A 14-year-old boy in a stifling Helsinki slum takes some unwise life lessons from his soon-to-be-incarcerated older brother, in Finnish master Pirjo Honkasalo’s gorgeously stylized and emotionally devastating work about what we pass on to younger generations, and the ways we do it.","[""Finland"",""Denmark"",""Sweden""]","2013"
"barefoot-to-the-neck","Barefoot to the Neck","de","An oddball comedy in which a nudist colony in eastern Germany is put at risk when a conservative Bavarian textile manufacturer purchases it, unaware of the true 'nature' of the resort. In an attempt to fool the new owner, the regulars dress normally. However, it doesn't take long for their old ways to creep back in as it becomes more difficult to keep up the act as well as keep on their clothes!","[]","2009"
"meet-joe-black","Meet Joe Black","en","When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.","[""United States of America""]","1998"
"jcvd","JCVD","fr","Between his tax problems and his legal battle with his wife for the custody of his daughter, these are hard times for the action movie star who finds that even Steven Seagal has pinched a role from him! Jean-Claude Van Damme returns to the country of his birth to seek the peace and tranquility he can no longer enjoy in the United States.","[""Belgium"",""France"",""Luxembourg""]","2008"
"pa-siyam","Pa-siyam","tl","After their mother's death, her adult children gather in their family home to respect the funereal rite of Pa-sayim. Although they had originally thought she died of natural causes, thy soon realize that a dark force in he home may have played a part in her demise.","[""Philippines""]","2004"
"nick-cave-the-bad-seeds-bbc-four-sessions","Nick Cave & The Bad Seeds: BBC Four Sessions","en","Nick Cave & The Bad Seeds: BBC Four Sessions","[""United Kingdom""]","2008"
"learning-hebrew","Learning Hebrew","en","When Criticism of faith and the freedom to offend is outlawed by the Politically Correct Militia. Bella and her gang of cyber punks push Darwinism door to door.","[""United Kingdom""]","2013"
"the-rabbit-hunters","The Rabbit Hunters","en","Pedro Costa's segment from the Jeonju film ""Memories"".","[]","2007"
"diary-of-a-bad-woman","Diary of a Bad Woman","en","Teenage girl, Anna, deals with her BAD habit whilst coming to terms with the effects it has on other people and dogs around her. Presenter Sarah-Jane Dawson follows Anna on the struggles she faces in her daily life. Will she quit and save little brother John or will she continue with her bad woman ways?","[""United Kingdom""]","2017"
"naomi-and-elys-no-kiss-list","Naomi and Ely's No Kiss List","en","The bonds between Naomi and Ely are tested when they fall for the same guy.","[""United States of America""]","2015"
"nil-by-mouth","Nil by Mouth","en","The family of Raymond, his wife Val and her brother Billy live in working-class London district. Also in their family is Val and Billy's mother Janet and grandmother Kath. Billy is a drug addict and Raymond kicks him out of the house, making him live on his own. Raymond is generally a rough and even violent person, and that leads to problems in the life of the family.","[""United Kingdom""]","1997"
"walk-on-the-wild-side","Walk on the Wild Side","en","At the Doll House, a 1930s New Orleans bordello, Hallie is the main attraction both for clients and for Jo, the madame. Her comfortable if tedious life is disrupted by the arrival in town of Dove Linkhorn, her true love of three years before who is now searching for her. When Linkhorn learns the truth of her profession he triggers a chain of events involving a number of people, including the young Kitty with whom he travelled from Texas and who is now the Doll House newest recruit.","[""United States of America""]","1962"
"house-of-the-rising-sun","House of the Rising Sun","en","Ray, an ex-cop, is starting a new life looking to stay out of trouble. One evening, on Ray's watch, the nightclub he works for is robbed and the owner's son is shot dead. As his criminal past is exposed Ray hunts for the person responsible for this crime in an effort to clear his own name. Ray must get to the bottom of this as both the mob and cops start to close in on him as their target suspect.","[""United States of America""]","2011"
"ganz-how-i-lost-my-beetle","Ganz: How I Lost My Beetle","en","Josef Ganz, editor of trade journal Motor-Kritik, amazed Germany by appearing in a revolutionary tiny car in 1932. It was his dream: a people's car anyone can afford. The idea made its way to new Reichskanzler Adolf Hitler. But in Hitler's dream there was no place for Jewish inventor Ganz. This is the story of the man whose designs led to the invention of the Volkswagen Beetle, and who ultimately lost everything. In the film, Ganz's relatives and admirers bring his lost heritage back to life.","[]","2019"
"22-weeks","22 Weeks","en","A young woman is locked in the bathroom of an abortion clinic after her aborted baby is born alive.","[""Puerto Rico"",""United States of America""]","2009"
"the-fighting-kentuckian","The Fighting Kentuckian","en","John Breen (John Wayne), a Kentucky militiaman falls in love with French exile Fleurette De Marchand (Vera Ralston). He discovers a plot to steal the land that Fleurette's exiles plan to settle on and aims to foil it.","[""United States of America""]","1949"
"purlie","Purlie","en","Based on Davis' 1961 play Purlie Victorious (which was later translated into the 1963 film Gone Are the Days! and which included all of the original Broadway cast, including Ruby Dee, Alan Alda, Beah Richards, and Godfrey Cambridge), Purlie is a musical with a book by Ossie Davis, Philip Rose, and Peter Udell, lyrics by Udell, and music by Gary Geld.  It won two Tony Awards and was also nominated for Best Musical.
 This 1981 television adaptation is directed by Rudi Goldman  and stars Broadway cast members Guillaume, Moore, Hemsley, and Hopkins, with Brandon Maggart as Cotchipee, Clarice Taylor as Idilla, and Don Scardino as Charlie. The production won a CableACE Award.","[""United States of America""]","1981"
"watch-out-for-my-plant","Watch Out For My Plant","en","A young boy plants a flower in front of his house, where nurtures it and defends it from his urban neighbors.","[]","1972"
"inside-islam","Inside Islam","en","Inside Islam explores the historic and poetic wellspring of the Muslim people and illuminates startling commonalities among Islam, Christianity, and Judaism. Shades of difference between Islam's foundation and that of its counterparts prove more fascinating than divisive, e.g., Islam claims a direct line with Abraham via the latter's cast-off son, Ismael, while Judaism is linked to Abraham's more favored child, Isaac. Jesus, the Virgin Mary, and the angel Gabriel each play major roles in the Quran; it was Gabriel, in fact, who transmitted the Word of God to the 40-year-old, seemingly ordinary Muhammad in the 7th century, making him extraordinary to millions today. Sure, anti-Western sentiment creeps into the story, but in every important way Inside Islam is an antidote to gross anti-Muslim bigotry. --Tom Keogh","[]","2002"
"invasion-2016","Invasion!","en","Narrated by Ethan Hawke and created by the director of Madagascar, INVASION! is a colorful VR animated short about a duo of aliens with grand ambitions to take over our world. Instead, they are greeted by two adorable, white bunnies…..and you are one of them! Come experience what happens!","[""United States of America""]","2016"
"on-broadway-cemetery","On Broadway Cemetery","en","A meditative stroll through Sacramento landmarks, from the gentrified to the urban.","[""United States of America""]","2018"
"thanxgiving","ThanXgiving","en","A group of film students travel deep into the woods to make a movie, thinking that they've found the perfect location in the form of an abandoned campground.","[]","2006"
"angel-2005-1","Angel","ja","One day, an angel materializes before Kato's eyes. While the angel seems like an average girl with a passion for gin and lime, she sports a pair of big white wings. Only lonely-hearted people can see her. She may seem ordinary, but this angel touches hearts and transforms lives.","[""Japan""]","2005"
"soufra","Soufra","ar","The unlikely and wildly inspirational story of intrepid social entrepreneur, Mariam Shaar – a generational refugee who has spent her entire life in the Burj El Barajneh refugee camp just south of Beirut, Lebanon. Follow Mariam as she sets out against all odds to change her fate by launching a successful catering company, “Soufra,” and then expand it into a food truck business with a diverse team of fellow refugee woman who now share this camp as their home.","[""Lebanon"",""United States of America""]","2017"
"manana","Mañana...","es","""Tomorrow ..."" (mañana...) is the easy exit to deceive themselves of those who feel the impotence and the cowardice to confront face to face their circumstances in life.","[""Spain""]","1957"
"apoorvaragam","Apoorvaragam","ml","Apoorvaragam is the story of three youngsters Roopesh (Nishan), Nancy (Nithya) and Tommy (Asif Ali). Roopesh has always been in love with Nancy, but has never had the nerve to express it. For Nancy, love is something that is beyond words. Tommy is the perfect Cupid, who would make things happen for these two. After a lot of unexpected happenings and dramatic twists, it is proven that only true love can endure.","[""India""]","2010"
"mark-trade","Mark Trade","en","shot in 2013 - in 'honor, of cause fake news - less gravity here - don't bird watch with a gun - remember your dreams before they remember you : the sloppy mix, bullshit version coming near soon usa","[]","2016"
"everyday-people","Everyday People","en","The closing of a local restaurant concerns a number of employees who've dedicated their lives to the eatery","[""United States of America""]","2004"
"jaani-dushman-ek-anokhi-kahani","Jaani Dushman: Ek Anokhi Kahani","hi","Diyva and Karan Saxena are in love and plan to marry. Karan has a younger step-brother, Vivek Saxena who he looks after him as though he were his own brother. Divya and Vivek hang out with quite a few young people of their own age, Atul, Vijay, Prem, Ashok, Nita, Rashmi, Niki, and Priti, just to name a few. Two male members try to sexually molest Divya, and get a sound thrashing from Karan. After apologizing, these two members decide to avenge their beating and humiliation. After entrapping Divya, they sexually molest her to such an extent that Divya attempts to kill herself. Unknown to Divya, she was the lover of Kapil a snake with magical powers, in a previous life. Their love life was shattered by an angry sage who cursed them with separation until the 21st century. Divya, who was called Vasundhara in her previous life, dies after this curse, and is reborn as Divya.","[""India""]","2002"
"thiers-mac-mahon-grevy-carnot-felix-faure","Thiers, Mac-Mahon, Grévy, Carnot, Félix Faure","en","A man of at least five faces.","[]","1898"
"panda-paws","Panda Paws","en","A short film which serves as a prequel to Kung Fu Panda 3 in which Mei Mei and Bao compete with one another at the Spring Festival.","[""United States of America""]","2016"
"and-now-for-something-completely-different","And Now for Something Completely Different","en","A collection of Monty Python's Flying Circus skits from the first two seasons of their British TV series.","[""United Kingdom""]","1971"
"mackinac-island","Mackinac Island","en","This Traveltalk series short begins in Chicago, where the narrator and his crew board a cruise ship. After a 20-hour trip up Lake Michigan, they arrive at Mackinac Island, near the southeast tip of Michigan's Upper Peninsula. On the island, we see many of the attractions for which it is famous. These include Arch Rock, Old Fort Mackinack, and a hotel owned by Chauncey Depew. No automobiles are allowed on the island. Transportation is limited to bicycles and horse-drawn carriages.","[""United States of America""]","1944"
"ungiven","Ungiven","hr","Determined to move on with their life violently interrupted by war several years ago, an elderly couple returns to their restored home. We follow their everyday life through the four seasons. Every day She becomes more absent and lost. Instead of helping her, He acts brutishly, sometimes even cruelly, towards his wife. However, the realization that something is wrong with Her will make Him question his behavior and values.","[""Croatia""]","2015"
"kate-bush-at-the-bbc","Kate Bush at the BBC","en","A compilation of Kate Bush's performances on a variety of BBC programs, including Saturday Night at the Mill, Ask Aspel, The Leo Sayer Show, and Top of the Pops.","[""United Kingdom""]","2014"
"bird-on-a-wire-1990","Bird on a Wire","en","An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.","[""United States of America""]","1990"
"the-magnificent-butcher","The Magnificent Butcher","cn","A plump butcher student of 'Wong Fei Hung', Lam Sai-Wing (Sammo) gets into trouble with a rival kung-fu school known as 'Five Dragons'. He is accused of raping the Head of that school's goddaughter and killing his son. Now Ko, the Head of Five Dragons, wants revenge.","[""Hong Kong""]","1979"
"moving-so-slowly","Moving So Slowly","es","Every bureaucracy has its own unfathomable logic, and the Costa Rican immigration department is no exception. The lines out front are long, and once you get indoors, consider yourself lucky that you can take a seat on one of the red, yellow or blue chairs you’re assigned—there are even rules on what color chair you get.","[""Costa Rica""]","2019"
"hot-ticket","Hot Ticket","en","Two beautiful hostages find themselves pitted against cold-blooded killers intent on escaping with a million dollars in 'laundered' currency. Stranded in an alpine wilderness, the hunters and the hunted play an action packed cat and mouse game with the money and their lives hanging in the balance","[""United States of America""]","1996"
"battle-of-the-classes","Battle of the Classes","fr","As everyone knows, children make no difference between social classes, skin colors or religions. But then why does Corentin, Paul and Sofia's nine-year-old son, only have friends like him at Bagnolet's school? And when his friends all leave for a private school in Paris, his parents are frightened. From now on, Corentin is the only one in his class. But the only what?","[""Belgium"",""France""]","2019"
"cinema-metaphysique-no-1-5","Cinema Metaphysique No. 1-5","en","This early work belongs in the company of Paik and Yalkut's classic collaborative ""video-films,"" including Video Tape Study No. 3, Beatles Electronique, and Missa of Zen. To the accompaniment of the abrupt sonic interjections of Fluxus-affiliated composer Takehisa Kosugi, Yalkut's black and white film records brief, masked actions: an arm with clenching fist; a pair of faces, visible only about the eyes, which squint, gaze, and rest; Paik eating a slice of bread. Reminiscent of Beckett's theater, as well as the minimal movements of 1960s avant-garde dance, Cinéma Metaphysique is a study in gesture and stillness, noise and silence.","[]","1972"
"hippocampus-m-21th","Hippocampus M 21th","en","Apartment 37413 Once a week three crazy brothers meet to relive their childhood disorder eating human raw organs and living a sadomasochistic rapport/intercourse... Apartment 28513 The torture of Barbie. A man enjoys torturing and scarring Barbie, but one day he'll decide to do it with real women... Apartment 13396 A painter uses his blood and his muse's faces to prepare the perfect colors for his masterpiece... Apartment 1932301 A woman is looking for a way to becomes excited and she'll discover it touching/with the contact of insects and cockroaches... Apartment 121197 A self-destructive necromancer conserves the mummified corpse of his husband and every night she has sex with it... Apartment 7428M An erotomaniac obsessed by a clown who is in his house blowing up balloons and exploding it.","[]","2014"
"edwin-parker","Edwin Parker","en","A film by Tacita Dean","[]","2011"
"skull-2020","Skull: The Mask","pt","The story of an ancient mask that possesses the human form to commit visceral sacrifices of vengeance for the incarnation of its God.","[""Brazil""]","2020"
"lazybones-2017","Lazybones","en","Ben, a wannabe stand up comedian in Melbourne, doesn't live for the weekend like the O'Jays hit song, in fact he finds that philosophy kinda depressing. Spending most of his life on the stage, in his Uber and hanging out with his friends, he floats through life wondering - is there more to this?","[""Australia""]","2017"
"popoz","Popoz","nl","Festival favorite Huub Smit (New Kids Nitro; New Kids Turbo; Bros Before Hos) stars as a Dutch cop raised on far too many American action films in this outrageous action comedy.","[""Netherlands""]","2015"
"doll-graveyard","Doll Graveyard","en","It's 1905 when 12 year old Sophia plays all by herself in her big, creepy house with only four handmade dolls as friends. When her abusive father has finally had enough, he forces her to bury them in the backyard. But, after she ""slips"" and breaks her neck, dad buries her right along with the dolls. 100 years later, the Fillbrook family moves into the very same house.","[""United States of America""]","2005"
"kgf-chapter-1","K.G.F: Chapter 1","kn","A period drama set in the 1970s, KGF follows the story of a fierce rebel who rises against the brutal oppression in Kolar Gold Fields and becomes the symbol of hope to legions of downtrodden people.","[""India""]","2018"
"suzaki-paradise-red-light","Suzaki Paradise: Red Light District","ja","A jobless young couple, Yoshigi and Tsutue, wind up at the outskirts of the Suzaki red-light district in Tokyo. Tsutue talks her way into a job pouring sake for male customers at a small bar run by a sympathetic older woman, while Yoshigi is shunted off into a nearby noodle shop, where he gets a job delivering noodles. Tsutue charms and runs off with one of her clients. Yoshigi, ignoring the attentions of a sweet co-worker, pursues Tsutue.","[""Japan""]","1956"
"the-flowers-of-evil","The Flowers of Evil","ja","A high school student steals the panties of a girl he likes and gets witnessed, which sets off a chain of events that send his life and the lives of others around him out of control.","[""Japan""]","2019"
"his-comedy","His Comedy","en","Animated short","[]","1994"
"borrowed-trouble","Borrowed Trouble","en","Finishing a trail drive, Hoppy and the boys head to town and immediately get caught up in the conflict between school teacher Miss Abott and next door saloon owner Mawson. When Miss Abott disappears, Hoppy gets a clue to her location and rescues her from Mawson's cabin. It looks like Mawson is the man he wants, but Hoppy finds an item that indicates otherwise.","[""United States of America""]","1948"
"diary-2010","Diary","en","An autobiographical short film by photojournalist Tim Hetherington, focusing on the decade he spent as a war photographer.","[]","2010"
"the-black-candle-2008","The Black Candle","en","The origins of Kwanzaa and the seven principles upon which the pan-African holiday derives its meaning are explored in this fascinating documentary. Narrated by Maya Angelou.","[""United States of America""]","2008"
"good-morning-belgrade","Good Morning, Belgrade","sr","In the center of this docudrama are the events and tensions of the shooting of a feature film about Belgrade in the future. The director sets up unrealistic requirements to the producer, who breaks the law by overstepping the budget. During a court trial where the crew members are at the witness stand, we follow up the drama of how a film is made.","[""Yugoslavia""]","1986"
